"Canada","911","911","911","+1 613-688-5335","490 Sussex Drive, Ottawa, Ontario K1N 1G8 Canada","https://ca.usembassy.gov/embassy-consulates/ottawa/",,,,,
"United States","911","911","911",,,,"1-844-880-6519 ","501 Pennsylvania Avenue, N.W., Washington, D.C., U.S.A., 20001 ","https://www.canada.ca/Canada-In-Washington",,
"Puerto Rico","911","911","911",,,,"1-844-880-6519 ","501 Pennsylvania Avenue, N.W., Washington, D.C., U.S.A., 20001 ","https://www.canada.ca/Canada-In-Washington",,
"Mexico","911","911","911","+52 55-5080-2000 ","Paseo de la Reforma 305, Colonia Cuauhtemoc, 06500 Mexico, D.F.","https://mx.usembassy.gov/","+52 55-5724-7900 ","Calle Schiller No. 529, Colonia Polanco, 11580 México, D.F., México ","https://www.canada.ca/Canada-And-Mexico",,
"Dominican Republic","911","911","911","(809) 567-7775 ","Av. Republica de Colombia # 57, Santo Domingo, Dominican Republic","https://do.usembassy.gov/embassy/","(809) 262-3100 ","Av. Winston Churchill 1099 Torre Citigroup en Acropólis Center, 18th Floor Ensanche Piantini, Santo Domingo, Dominican Republic ","https://www.canada.ca/Canada-And-Dominican-Republic",,
"Jamaica","911","911","911","876-702-6000 ","142 Old Hope Road, Kingston 6, Jamaica, West Indies","https://jm.usembassy.gov/","(876) 926-1500 ","3 West Kings House Road, Kingston 10, Jamaica ","https://www.canada.ca/Canada-And-Jamaica","119 is a direct line to police.","119 is a direct line to police."
"Colombia","123","123","123","+57 (601) 275-2000 ","Carrera 45 No. 24B-27 Bogotá, D.C. Colombia ","https://co.usembassy.gov/","(57-601) 657-9800 ","Cra. 7, No. 114-33, Piso 14, Bogotá, D.C. Colombia ","https://www.canada.ca/Canada-And-Colombia",,
"Bahamas","911","911","911","(242) 322-1181 ","42 Queen St., Nassau, the Bahamas","https://bs.usembassy.gov/","(242) 393-2123 ","Shirley Street Plaza, Nassau, Bahamas ","https://www.canada.ca/Canada-And-Bahamas",,
"Costa Rica","911","911","911","(506) 2519-2000 ","Calle 98 Vía 104, Pavas, San José, Costa Rica","https://cr.usembassy.gov/embassy/","(506) 2242-4400 ","P.O. Box 351-1007, San José, Costa Rica ","https://www.canada.ca/Canada-And-Costa-Rica",,
"United Kingdom","999","999","999","011 44 20 7499 9000 ","33 Nine Elms Lane, London, SW11 7US","https://uk.usembassy.gov/embassy-consulates/london/","+44 (0) 207 004 6000 ","Canada House, Trafalgar Square, London, SW1Y 5BJ, England, United Kingdom ","https://www.canada.ca/Canada-And-United-Kingdom",,
"Aruba","911","911","911"," +599 (9) 433-2200","P.O. Box 158, J.B. Gorsiraweg 1 Curacao","https://cw.usconsulate.gov/","(599-9) 560-9936 ","Plasa Jojo Correa 2 Willemstad Curaçao ","https://www.canada.ca/Canada-And-Curacao",,"Canadians can also call the Embassy of Canada to Colombia at (57-601) 657-9800 "
